Step 1,Step 2,Step 3,Step 4,Link,Size,t,Path,Min or Max,Month/Year
,Exsisting Customers,Discount,No Response,link,22,-2,81,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-2.25,82,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-2.5,83,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-2.75,84,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-3,85,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-3.25,86,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-3.5,87,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-3.75,88,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-4,89,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-4.25,90,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-4.5,91,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-4.75,92,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-5,93,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-5.25,94,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-5.5,95,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-5.75,96,Max,Month
,Exsisting Customers,Discount,No Response,link,22,-6,97,Max,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-6,0,Min,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-5.75,1,Min,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-5.5,2,Min,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-5.25,3,Min,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-5,4,Min,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-4.75,5,Min,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-4.5,6,Min,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-4.25,7,Min,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-4,8,Min,Month
,Exsisting Customers,Discount,Qualified/Booked,link,10,-3.75,9,Min,Month
